project,name,ending,date,sex,race,category,title,soc,employees,hours,wages
Expo Center,"Casler Masonry, Inc.",June,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,0,0,0
Expo Center,"Casler Masonry, Inc.",June,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Brickmasons and Blockmasons,47-2021,0,0,0
Expo Center,"Casler Masonry, Inc.",June,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,0,0,0
Expo Center,"Casler Masonry, Inc.",June,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Carpenters,47-2031,0,0,0
Expo Center,"Casler Masonry, Inc.",June,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Labors_Helpers,Construction Laborers,47-2061,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-08-07,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-08-07,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Brickmasons and Blockmasons,47-2021,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-08-07,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-08-07,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Carpenters,47-2031,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-08-07,Female,Asian/Native Hawaiian or Other Pacific Islander,Labors_Helpers,Construction Laborers,47-2061,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-09-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-09-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Brickmasons and Blockmasons,47-2021,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-09-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-09-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Carpenters,47-2031,0,0,0
Expo Center,"Casler Masonry, Inc.",March,2018-09-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Labors_Helpers,Construction Laborers,47-2061,0,0,0
Expo Center,"Casler Masonry, Inc.",July,2018-04-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,0,0,0
Expo Center,"Casler Masonry, Inc.",July,2018-04-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Brickmasons and Blockmasons,47-2021,0,0,0
Expo Center,"Casler Masonry, Inc.",July,2018-04-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,0,0,0
Expo Center,"Casler Masonry, Inc.",July,2018-04-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Carpenters,47-2031,0,0,0
Expo Center,"Casler Masonry, Inc.",July,2018-04-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Labors_Helpers,Construction Laborers,47-2061,0,0,0
Expo Center,Clark Rigging & Rental Corp,May,2018-06-20,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Crane and Tower Operators,NA,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Brickmasons and Blockmasons,47-2021,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Carpenters,47-2031,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Female,Asian/Native Hawaiian or Other Pacific Islander,Labors_Helpers,Construction Laborers,47-2061,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Brickmasons and Blockmasons,47-2021,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Female,Asian/Native Hawaiian or Other Pacific Islander,Craft_Workers,Carpenters,47-2031,0,0,0
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Female,Asian/Native Hawaiian or Other Pacific Islander,Labors_Helpers,Construction Laborers,47-2061,0,0,0
Expo Center,"Casler Masonry, Inc.",June,2018-07-06,Female,Black/African American,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,0,0,0
Expo Center,"Casler Masonry, Inc.",June,2018-07-06,Female,Black/African American,Craft_Workers,Brickmasons and Blockmasons,47-2021,0,0,0
